"日期","收市","開市","高","低","成交量","更改%"
"2014年12月","318.2","374.9","384.9","303.4","847.29K","-15.12%"
"2014年11月","374.9","337.9","480.5","319.8","711.11K","10.97%"
"2014年10月","337.9","388.2","407.7","294.9","569.00K","-12.96%"
"2014年9月","388.2","481.8","498.5","372.6","295.62K","-19.43%"
"2014年8月","481.8","589.5","608.2","450.0","126.17K","-18.28%"
"2014年7月","589.5","635.1","652.5","564.0","107.22K","-7.18%"
"2014年6月","635.1","627.9","676.5","560.8","111.81K","1.15%"
"2014年5月","627.9","445.6","629.0","420.2","85.75K","40.90%"
"2014年4月","445.6","444.7","549.0","355.7","161.16K","0.22%"
"2014年3月","444.7","573.9","695.4","262.8","94.27K","-22.53%"
"2014年2月","573.9","938.8","969.2","91.7","996.35K","-38.87%"
"2014年1月","938.8","805.9","1,093.4","771.0","306.25K","16.49%"
"2013年12月","805.9","1,205.7","1,239.9","454.9","920.80K","-33.15%"
"2013年11月","1,205.7","211.2","1,241.9","209.7","1.13M","470.94%"
"2013年10月","211.2","141.9","233.4","109.7","753.58K","48.82%"
"2013年9月","141.9","141.0","148.9","121.3","451.29K","0.64%"
"2013年8月","141.0","106.2","148.7","101.0","604.91K","32.76%"
"2013年7月","106.2","97.5","111.7","65.4","1.14M","8.92%"
"2013年6月","97.5","128.8","130.1","88.0","1.05M","-24.31%"
"2013年5月","128.8","139.2","140.1","79.0","2.07M","-7.48%"
"2013年4月","139.2","93.0","266.0","50.0","4.73M","49.66%"
"2013年3月","93.0","33.4","95.7","32.9","2.12M","178.70%"
"2013年2月","33.4","20.4","34.5","18.0","1.58M","63.55%"
"2013年1月","20.4","13.5","21.4","13.2","1.46M","51.07%"
"2012年12月","13.5","12.6","13.9","12.4","876.92K","7.48%"
"2012年11月","12.6","11.2","12.6","10.3","804.19K","12.23%"
"2012年10月","11.2","12.4","13.1","9.7","1.15M","-9.68%"
"2012年9月","12.4","10.2","12.7","9.7","959.78K","22.05%"
"2012年8月","10.2","9.4","15.4","7.6","2.45M","8.66%"
"2012年7月","9.4","6.7","9.7","6.4","1.90M","39.76%"
"2012年6月","6.7","5.2","6.8","5.2","1.38M","29.15%"
"2012年5月","5.2","4.9","5.2","4.8","1.24M","4.65%"
"2012年4月","4.9","4.9","5.5","4.6","1.66M","0.00%"
"2012年3月","4.9","4.9","5.4","4.3","1.76M","0.00%"
"2012年2月","4.9","5.5","6.2","3.9","2.84M","-11.31%"
"2012年1月","5.5","4.7","7.2","4.6","3.21M","16.10%"
"2011年12月","4.7","3.0","5.0","2.6","1.90M","58.92%"
"2011年11月","3.0","3.3","3.4","2.0","1.97M","-8.62%"
"2011年10月","3.3","5.1","5.3","2.0","1.73M","-36.77%"
"2011年9月","5.1","8.2","8.7","4.2","1.49M","-37.32%"
"2011年8月","8.2","13.4","13.6","5.7","1.22M","-38.58%"
"2011年7月","13.4","16.1","16.7","11.0","1.05M","-17.08%"
"2011年6月","16.1","8.7","31.9","8.3","1.36M","84.21%"
"2011年5月","8.7","3.5","9.5","2.5","949.02K","149.71%"
"2011年4月","3.5","0.8","4.2","0.6","868.76K","346.09%"
"2011年3月","0.8","0.9","1.0","0.7","243.30K","-8.77%"
"2011年2月","0.9","0.5","1.1","0.5","367.30K","65.38%"
"2011年1月","0.5","0.3","0.9","0.3","377.75K","73.33%"
"2010年12月","0.3","0.2","0.3","0.2","263.65K","44.09%"
"2010年11月","0.2","0.2","0.5","0.1","826.25K","0.00%"
"2010年10月","0.2","0.1","0.2","0.0","1.11M","210.99%"
"2010年9月","0.1","0.1","0.2","0.1","216.81K","0.00%"
"2010年8月","0.1","0.1","0.1","0.0","221.74K","0.00%"
