"日期","收市","開市","高","低","成交量","更改%" 123456
"2020年2月19日","9,609.4","10,158.6","10,230.9","9,424.3","905.95K","-5.40%"
"2020年2月18日","10,158.4","9,701.5","10,230.1","9,601.6","945.91K","4.71%"
"2020年2月17日","9,701.4","9,931.7","9,951.5","9,468.9","961.88K","-2.32%"
"2020年2月16日","9,932.3","9,907.4","10,056.4","9,654.9","808.91K","0.25%"
"2020年2月15日","9,907.7","10,336.0","10,369.8","9,831.7","808.81K","-4.12%"
"2020年2月14日","10,333.0","10,235.5","10,372.4","10,125.2","732.51K","0.96%"
"2020年2月13日","10,235.1","10,321.9","10,482.6","10,116.9","940.30K","-0.80%"
"2020年2月12日","10,317.7","10,229.3","10,435.6","10,229.3","803.25K","0.86%"
"2020年2月11日","10,229.5","9,854.0","10,314.1","9,725.1","791.28K","3.81%"
"2020年2月10日","9,854.1","10,151.5","10,181.7","9,774.8","781.22K","-2.93%"
"2020年2月9日","10,151.5","9,895.4","10,157.1","9,882.7","617.35K","2.59%"
"2020年2月8日","9,895.5","9,817.3","9,931.2","9,673.2","551.31K","0.78%"
"2020年2月7日","9,818.6","9,771.9","9,872.5","9,738.7","608.96K","0.48%"
"2020年2月6日","9,772.0","9,611.8","9,854.9","9,536.1","778.67K","1.67%"
"2020年2月5日","9,611.8","9,194.1","9,726.8","9,179.9","771.46K","4.54%"
"2020年2月4日","9,193.9","9,296.5","9,347.5","9,193.9","651.68K","-1.10%"
"2020年2月3日","9,296.6","9,334.6","9,582.8","9,243.1","701.39K","-0.41%"
"2020年2月2日","9,334.9","9,381.5","9,465.4","9,183.1","683.37K","-0.50%"
"2020年2月1日","9,381.6","9,349.3","9,458.8","9,301.5","458.42K","0.35%"
"2020年1月31日","9,349.1","9,508.3","9,525.0","9,222.3","633.37K","-1.66%"
"2020年1月30日","9,507.3","9,299.1","9,569.0","9,209.2","765.21K","2.24%"
"2020年1月29日","9,298.9","9,377.3","9,428.7","9,250.9","749.88K","-0.84%"
"2020年1月28日","9,377.3","8,866.6","9,389.5","8,866.6","954.20K","5.76%"
"2020年1月27日","8,866.6","8,608.1","8,983.1","8,585.6","706.45K","3.01%"
"2020年1月26日","8,607.8","8,341.6","8,607.8","8,304.9","468.34K","3.19%"
"2020年1月25日","8,341.6","8,439.9","8,447.6","8,277.2","444.00K","-1.17%"
"2020年1月24日","8,439.9","8,404.9","8,522.0","8,242.6","617.02K","0.41%"
"2020年1月23日","8,405.1","8,678.5","8,687.3","8,309.6","722.67K","-3.15%"
"2020年1月22日","8,678.5","8,733.0","8,805.4","8,610.8","509.06K","-0.62%"
"2020年1月21日","8,732.6","8,642.0","8,770.3","8,524.0","540.20K","1.05%"
"2020年1月20日","8,641.9","8,705.7","8,740.1","8,539.2","599.06K","-0.74%"
"2020年1月19日","8,706.2","8,916.3","9,183.7","8,552.8","975.01K","-2.36%"
"2020年1月18日","8,916.3","8,913.0","8,982.3","8,814.6","627.74K","0.04%"
"2020年1月17日","8,913.1","8,726.7","9,005.1","8,675.9","794.11K","2.13%"
"2020年1月16日","8,726.9","8,818.1","8,850.0","8,605.8","748.32K","-1.04%"
"2020年1月15日","8,818.3","8,827.9","8,904.0","8,615.5","1.17M","-0.12%"
"2020年1月14日","8,829.2","8,111.2","8,898.7","8,111.2","1.48M","8.85%"
"2020年1月13日","8,111.4","8,188.3","8,196.7","8,068.4","610.66K","-0.93%"
"2020年1月12日","8,187.6","8,023.3","8,189.9","7,973.1","595.22K","2.04%"
"2020年1月11日","8,024.1","8,187.8","8,262.9","8,008.4","776.75K","-1.99%"
"2020年1月10日","8,187.1","7,842.5","8,187.4","7,697.7","1.05M","4.40%"
"2020年1月9日","7,842.4","8,060.0","8,065.9","7,779.2","786.50K","-2.70%"
"2020年1月8日","8,059.6","8,154.2","8,436.4","7,900.8","1.19M","-1.18%"
"2020年1月7日","8,155.7","7,759.1","8,182.0","7,754.1","1.01M","5.11%"
"2020年1月6日","7,759.1","7,372.6","7,783.1","7,366.7","786.75K","5.24%"
"2020年1月5日","7,372.5","7,376.8","7,501.0","7,345.6","628.14K","-0.06%"
"2020年1月4日","7,376.8","7,345.1","7,433.1","7,291.4","523.91K","0.46%"
"2020年1月3日","7,343.1","6,967.1","7,402.9","6,884.1","936.29K","5.40%"
"2020年1月2日","6,967.0","7,199.7","7,209.6","6,901.4","632.78K","-3.23%"
"2020年1月1日","7,199.8","7,196.4","7,259.4","7,180.0","420.28K","0.05%"
"2019年12月31日","7,196.4","7,261.5","7,331.0","7,167.4","586.60K","-0.90%"
"2019年12月30日","7,261.8","7,397.5","7,420.9","7,244.1","606.11K","-1.84%"
"2019年12月29日","7,397.5","7,321.6","7,518.9","7,303.0","611.69K","1.04%"
"2019年12月28日","7,321.5","7,261.9","7,375.9","7,256.5","610.96K","0.82%"
"2019年12月27日","7,261.7","7,210.8","7,293.8","7,128.5","718.07K","0.70%"
"2019年12月26日","7,210.9","7,225.0","7,414.3","7,177.3","795.09K","-0.19%"
"2019年12月25日","7,224.8","7,268.3","7,542.4","7,150.9","625.41K","-0.60%"
"2019年12月24日","7,268.3","7,322.4","7,433.2","7,185.7","785.54K","-0.74%"
"2019年12月23日","7,322.8","7,496.2","7,684.0","7,276.2","952.16K","-2.31%"
"2019年12月22日","7,495.8","7,156.3","7,501.1","7,142.0","677.94K","4.74%"
"2019年12月21日","7,156.2","7,196.4","7,197.6","7,129.6","468.74K","-0.56%"
"2019年12月20日","7,196.4","7,165.5","7,218.4","7,107.7","627.04K","0.43%"
"2019年12月19日","7,165.5","7,276.4","7,354.0","7,039.3","778.72K","-1.52%"
"2019年12月18日","7,276.0","6,613.5","7,387.7","6,462.2","1.14M","10.02%"
"2019年12月17日","6,613.3","6,903.5","6,943.5","6,575.0","894.55K","-4.20%"
"2019年12月16日","6,903.5","7,128.5","7,153.1","6,864.6","689.56K","-3.16%"
"2019年12月15日","7,128.5","7,080.8","7,175.8","7,033.8","492.58K","0.67%"
"2019年12月14日","7,080.8","7,255.2","7,267.4","7,043.3","524.56K","-2.40%"
"2019年12月13日","7,255.2","7,208.4","7,288.0","7,200.3","503.49K","0.65%"
"2019年12月12日","7,208.0","7,208.0","7,272.4","7,124.6","611.80K","0.00%"
"2019年12月11日","7,208.0","7,235.8","7,284.4","7,168.8","518.40K","-0.38%"
"2019年12月10日","7,235.7","7,356.2","7,400.3","7,192.1","609.50K","-1.63%"
"2019年12月9日","7,355.8","7,524.8","7,626.0","7,321.6","648.66K","-2.24%"
"2019年12月8日","7,524.4","7,510.8","7,576.4","7,416.7","499.04K","0.18%"
"2019年12月7日","7,510.9","7,530.4","7,595.7","7,489.6","557.14K","-0.26%"
"2019年12月6日","7,530.8","7,399.2","7,552.1","7,329.8","706.10K","1.78%"
"2019年12月5日","7,399.2","7,204.6","7,476.3","7,184.0","780.78K","2.70%"
"2019年12月4日","7,204.4","7,291.9","7,702.2","7,113.6","971.75K","-1.20%"
"2019年12月3日","7,291.8","7,298.1","7,389.4","7,227.1","548.77K","-0.09%"
"2019年12月2日","7,298.2","7,395.9","7,433.8","7,173.6","687.78K","-1.33%"
"2019年12月1日","7,396.4","7,546.5","7,546.5","7,244.4","777.00K","-1.99%"
"2019年11月30日","7,546.6","7,742.7","7,787.7","7,472.7","650.60K","-2.53%"
"2019年11月29日","7,742.7","7,426.6","7,825.3","7,412.3","766.71K","4.26%"
"2019年11月28日","7,426.7","7,510.6","7,639.5","7,380.6","737.58K","-1.12%"
"2019年11月27日","7,510.6","7,162.8","7,636.9","6,875.4","996.49K","4.86%"
"2019年11月26日","7,162.8","7,115.5","7,329.5","7,045.1","844.27K","0.66%"
"2019年11月25日","7,115.6","6,924.7","7,352.8","6,534.8","1.29M","2.76%"
"2019年11月24日","6,924.7","7,325.0","7,344.1","6,894.9","904.50K","-5.45%"
"2019年11月23日","7,324.1","7,271.6","7,342.5","7,093.7","783.18K","0.71%"
"2019年11月22日","7,272.5","7,627.9","7,700.9","6,818.5","1.41M","-4.66%"
"2019年11月21日","7,627.9","8,099.4","8,129.6","7,519.7","891.50K","-5.82%"
"2019年11月20日","8,099.3","8,145.7","8,223.0","8,074.2","607.27K","-0.57%"
"2019年11月19日","8,145.7","8,207.7","8,245.6","8,032.8","654.27K","-0.76%"
"2019年11月18日","8,208.4","8,510.3","8,516.3","8,110.4","692.60K","-3.54%"
"2019年11月17日","8,509.8","8,497.4","8,631.7","8,413.0","531.22K","0.15%"
"2019年11月16日","8,497.3","8,476.2","8,532.8","8,450.7","471.16K","0.25%"
"2019年11月15日","8,476.3","8,660.8","8,761.8","8,437.1","653.71K","-2.13%"
"2019年11月14日","8,661.2","8,782.9","8,799.8","8,615.8","515.43K","-1.39%"
"2019年11月13日","8,783.1","8,813.2","8,829.7","8,721.1","454.33K","-0.33%"
"2019年11月12日","8,812.6","8,737.4","8,841.2","8,615.7","575.16K","0.87%"
"2019年11月11日","8,736.9","9,036.9","9,066.4","8,649.4","601.16K","-3.32%"
"2019年11月10日","9,036.8","8,804.7","9,092.9","8,763.5","581.57K","2.64%"
"2019年11月9日","8,804.5","8,778.1","8,877.5","8,746.9","512.02K","0.30%"
"2019年11月8日","8,778.2","9,223.6","9,254.8","8,722.4","791.79K","-4.83%"
"2019年11月7日","9,223.5","9,339.2","9,367.0","9,130.0","603.54K","-1.24%"
"2019年11月6日","9,338.9","9,311.2","9,424.6","9,262.7","578.03K","0.30%"
"2019年11月5日","9,310.8","9,396.1","9,452.7","9,193.9","653.42K","-0.91%"
"2019年11月4日","9,396.4","9,198.7","9,500.4","9,134.1","681.01K","2.15%"
"2019年11月3日","9,198.3","9,300.5","9,359.1","9,095.0","536.56K","-1.10%"
"2019年11月2日","9,300.6","9,230.3","9,356.7","9,201.2","570.74K","0.76%"
"2019年11月1日","9,230.1","9,153.1","9,270.4","9,057.2","689.65K","0.85%"
"2019年10月31日","9,152.6","9,157.9","9,378.9","8,959.6","798.93K","-0.06%"
"2019年10月30日","9,157.9","9,411.3","9,411.3","9,018.4","789.73K","-2.69%"
"2019年10月29日","9,411.3","9,206.5","9,531.3","9,125.3","918.48K","2.22%"
"2019年10月28日","9,207.2","9,530.1","9,866.9","9,202.5","1.04M","-3.38%"
"2019年10月27日","9,529.6","9,230.6","9,773.2","9,081.0","1.16M","3.24%"
"2019年10月26日","9,230.6","8,658.4","10,540.0","8,061.8","1.78M","6.61%"
"2019年10月25日","8,658.3","7,422.8","8,697.7","7,404.9","1.18M","16.65%"
"2019年10月24日","7,422.7","7,476.8","7,501.5","7,366.3","586.49K","-0.73%"
"2019年10月23日","7,477.0","8,031.0","8,055.0","7,329.2","892.08K","-6.90%"
"2019年10月22日","8,031.4","8,207.4","8,289.1","8,017.7","570.39K","-2.15%"
"2019年10月21日","8,208.2","8,224.1","8,315.3","8,155.7","489.40K","-0.18%"
"2019年10月20日","8,223.4","7,957.4","8,288.5","7,889.6","513.91K","3.34%"
"2019年10月19日","7,957.3","7,948.3","8,060.2","7,892.4","428.83K","0.11%"
"2019年10月18日","7,948.5","8,073.3","8,116.4","7,842.0","505.79K","-1.55%"
"2019年10月17日","8,073.3","8,000.4","8,118.2","7,944.4","444.95K","0.91%"
"2019年10月16日","8,000.4","8,167.1","8,185.9","7,929.8","538.92K","-2.04%"
"2019年10月15日","8,167.2","8,353.4","8,400.2","8,139.5","469.73K","-2.23%"
"2019年10月14日","8,353.3","8,281.3","8,374.3","8,222.2","505.02K","0.87%"
"2019年10月13日","8,281.5","8,304.3","8,450.2","8,190.6","419.87K","-0.28%"
"2019年10月12日","8,304.4","8,267.6","8,394.8","8,260.9","424.02K","0.44%"
"2019年10月11日","8,267.8","8,562.2","8,751.1","8,249.7","667.86K","-3.44%"
"2019年10月10日","8,562.3","8,566.8","8,638.5","8,438.7","511.46K","-0.05%"
"2019年10月9日","8,566.7","8,180.1","8,655.9","8,122.7","636.43K","4.69%"
"2019年10月8日","8,182.9","8,198.5","8,323.1","8,118.1","469.04K","-0.19%"
"2019年10月7日","8,198.6","7,882.6","8,293.5","7,797.0","604.74K","4.02%"
"2019年10月6日","7,881.9","8,127.3","8,145.5","7,834.9","448.80K","-3.02%"
"2019年10月5日","8,127.3","8,148.0","8,185.1","8,030.6","360.92K","-0.25%"
"2019年10月4日","8,148.1","8,227.6","8,233.6","8,041.4","416.92K","-0.96%"
"2019年10月3日","8,226.9","8,363.6","8,391.7","8,090.1","460.97K","-1.64%"
"2019年10月2日","8,364.1","8,302.7","8,374.0","8,167.7","405.86K","0.74%"
"2019年10月1日","8,302.7","8,285.0","8,486.2","8,187.9","533.95K","0.22%"
"2019年9月30日","8,284.3","8,048.9","8,318.5","7,749.0","600.26K","2.92%"
"2019年9月29日","8,049.1","8,208.0","8,226.8","7,922.1","418.48K","-1.94%"
"2019年9月28日","8,208.5","8,184.5","8,297.2","8,031.1","457.79K","0.29%"
"2019年9月27日","8,184.9","8,063.8","8,257.4","7,882.1","561.40K","1.50%"
"2019年9月26日","8,063.8","8,432.5","8,463.1","7,773.6","731.03K","-4.37%"
"2019年9月25日","8,432.4","8,512.3","8,729.8","8,245.1","696.11K","-0.96%"
"2019年9月24日","8,513.9","9,702.7","9,793.8","8,069.4","933.16K","-12.25%"
"2019年9月23日","9,702.2","10,031.3","10,048.8","9,656.3","431.10K","-3.28%"
"2019年9月22日","10,031.6","9,993.0","10,075.0","9,870.9","337.06K","0.39%"
"2019年9月21日","9,993.0","10,172.8","10,177.9","9,939.8","326.17K","-1.77%"
"2019年9月20日","10,172.7","10,251.5","10,279.5","10,088.6","362.07K","-0.76%"
"2019年9月19日","10,250.5","10,164.6","10,297.6","9,707.6","542.25K","0.84%"
"2019年9月18日","10,164.7","10,195.7","10,257.5","10,119.3","318.82K","-0.30%"
"2019年9月17日","10,195.7","10,254.6","10,273.6","10,153.5","321.64K","-0.58%"
"2019年9月16日","10,255.5","10,311.3","10,360.5","10,108.5","372.53K","-0.54%"
"2019年9月15日","10,311.5","10,337.3","10,360.4","10,272.0","255.79K","-0.25%"
"2019年9月14日","10,337.3","10,342.2","10,421.4","10,253.7","326.44K","-0.05%"
"2019年9月13日","10,342.1","10,415.2","10,441.4","10,174.1","365.52K","-0.70%"
"2019年9月12日","10,415.1","10,162.4","10,447.9","10,051.0","413.22K","2.49%"
"2019年9月11日","10,162.5","10,104.9","10,257.5","9,908.9","413.06K","0.57%"
"2019年9月10日","10,105.4","10,308.7","10,379.8","9,970.7","383.22K","-1.98%"
"2019年9月9日","10,309.0","10,402.1","10,478.0","10,095.7","473.76K","-0.90%"
"2019年9月8日","10,402.8","10,461.6","10,578.0","10,266.3","339.73K","-0.56%"
"2019年9月7日","10,461.1","10,306.9","10,556.4","10,302.3","393.57K","1.47%"
"2019年9月6日","10,309.3","10,566.7","10,896.2","10,227.4","643.02K","-2.44%"
"2019年9月5日","10,566.9","10,567.8","10,630.7","10,469.9","402.09K","-0.01%"
"2019年9月4日","10,568.2","10,611.6","10,783.6","10,388.6","504.45K","-0.42%"
"2019年9月3日","10,612.3","10,348.1","10,756.8","10,283.5","578.79K","2.55%"
"2019年9月2日","10,348.8","9,728.8","10,431.5","9,720.3","542.79K","6.37%"
"2019年9月1日","9,729.3","9,594.7","9,799.5","9,533.6","322.66K","1.41%"
"2019年8月31日","9,594.4","9,585.5","9,677.5","9,457.3","311.49K","0.09%"
"2019年8月30日","9,585.4","9,494.1","9,675.7","9,370.2","413.92K","0.99%"
"2019年8月29日","9,491.0","9,729.1","9,729.1","9,343.0","509.13K","-2.45%"
"2019年8月28日","9,729.4","10,184.7","10,271.3","9,629.6","580.29K","-4.47%"
"2019年8月27日","10,184.8","10,372.2","10,387.6","10,060.2","419.81K","-1.80%"
"2019年8月26日","10,371.8","10,136.0","10,568.2","10,136.0","568.77K","2.32%"
"2019年8月25日","10,136.3","10,132.1","10,307.0","9,935.2","422.53K","0.05%"
"2019年8月24日","10,131.0","10,389.4","10,415.9","9,917.5","463.85K","-2.48%"
"2019年8月23日","10,388.7","10,104.9","10,434.3","9,921.4","436.26K","2.81%"
"2019年8月22日","10,105.0","10,141.1","10,218.2","9,777.0","520.75K","-0.36%"
"2019年8月21日","10,141.5","10,753.3","10,797.8","9,908.0","717.65K","-5.68%"
"2019年8月20日","10,752.6","10,911.2","10,941.6","10,581.0","515.47K","-1.45%"
"2019年8月19日","10,910.7","10,312.8","10,923.9","10,267.8","519.01K","5.80%"
"2019年8月18日","10,312.7","10,219.3","10,494.9","10,086.7","441.11K","0.93%"
"2019年8月17日","10,218.1","10,335.5","10,460.7","10,016.3","497.77K","-1.14%"
"2019年8月16日","10,335.6","10,300.9","10,734.0","9,788.6","798.67K","0.31%"
"2019年8月15日","10,303.4","10,053.3","10,448.2","9,580.1","930.05K","2.53%"
"2019年8月14日","10,049.4","10,894.2","10,894.5","9,965.5","745.59K","-7.74%"
"2019年8月13日","10,892.9","11,395.0","11,445.6","10,793.2","540.78K","-4.40%"
"2019年8月12日","11,394.2","11,505.1","11,508.6","11,267.3","391.08K","-1.07%"
"2019年8月11日","11,517.2","11,314.6","11,728.4","11,146.1","435.83K","1.79%"
"2019年8月10日","11,314.5","12,090.5","12,185.0","11,281.6","570.74K","-6.41%"
"2019年8月9日","12,089.8","12,190.0","12,225.3","11,885.0","558.72K","-0.84%"
"2019年8月8日","12,191.6","12,015.9","12,236.6","11,727.0","592.15K","1.48%"
"2019年8月7日","12,013.9","11,481.0","12,114.5","11,406.4","702.85K","4.64%"
"2019年8月6日","11,480.9","11,817.6","12,291.9","11,237.0","807.58K","-2.84%"
"2019年8月5日","11,816.8","10,934.8","11,922.3","10,934.8","769.63K","8.07%"
"2019年8月4日","10,934.6","10,816.1","11,017.7","10,568.8","585.71K","1.10%"
"2019年8月3日","10,815.7","10,519.9","10,893.6","10,504.5","508.75K","2.81%"
"2019年8月2日","10,520.1","10,380.5","10,664.8","10,330.5","578.29K","1.35%"
"2019年8月1日","10,380.0","10,081.9","10,459.0","9,890.6","608.37K","2.96%"
"2019年7月31日","10,082.0","9,580.3","10,100.0","9,562.4","589.84K","5.23%"
"2019年7月30日","9,580.7","9,580.0","9,703.0","9,483.0","511.51K","-0.00%"
"2019年7月29日","9,580.9","9,728.5","9,835.4","9,502.5","510.90K","-1.51%"
"2019年7月28日","9,727.8","9,491.1","9,798.5","9,401.1","518.59K","2.48%"
"2019年7月27日","9,492.1","9,830.4","10,232.3","9,389.1","661.89K","-3.45%"
"2019年7月26日","9,831.0","9,945.2","10,436.1","9,724.2","493.75K","-1.15%"
"2019年7月25日","9,945.3","9,804.7","10,203.5","9,776.6","545.85K","1.44%"
"2019年7月24日","9,804.3","9,887.2","9,945.3","9,584.0","639.54K","-0.85%"
"2019年7月23日","9,888.7","10,412.8","10,414.7","9,865.4","663.38K","-5.03%"
"2019年7月22日","10,412.5","10,715.1","10,806.3","10,196.5","591.27K","-2.82%"
"2019年7月21日","10,714.4","10,827.0","10,883.8","10,442.5","562.17K","-1.04%"
"2019年7月20日","10,826.7","10,571.9","11,155.6","10,462.0","668.94K","2.41%"
"2019年7月19日","10,571.5","10,651.6","10,758.4","10,160.7","727.79K","-0.75%"
"2019年7月18日","10,651.4","9,723.1","10,787.1","9,390.0","974.49K","9.55%"
"2019年7月17日","9,723.2","9,425.1","9,983.6","9,082.6","1.03M","3.17%"
"2019年7月16日","9,424.8","10,844.0","11,019.5","9,375.3","1.05M","-13.10%"
"2019年7月15日","10,845.9","10,199.9","11,064.7","9,885.4","956.52K","6.33%"
"2019年7月14日","10,200.1","11,364.3","11,448.7","10,128.9","840.76K","-10.25%"
"2019年7月13日","11,364.9","11,762.8","11,798.4","10,839.4","747.71K","-3.38%"
"2019年7月12日","11,762.1","11,343.7","11,881.4","11,109.8","738.17K","3.70%"
"2019年7月11日","11,342.3","12,111.6","12,111.6","11,029.0","943.13K","-6.34%"
